,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
District of Columbia,-66% ,-33% ,-50% ,-71% ,-49% ,+15% 
Florida,-57% ,-33% ,-70% ,-70% ,-45% ,+15% 
Georgia,-50% ,-22% ,-13% ,-59% ,-42% ,+13% 
Hawaii,-55% ,-26% ,-67% ,-76% ,-46% ,+16% 
Idaho,-40% ,-14% ,+30% ,-36% ,-39% ,+10% 
Illinois,-50% ,-16% ,+24% ,-52% ,-39% ,+12% 
Indiana,-45% ,-17% ,+54% ,-35% ,-37% ,+10% 
Iowa,-39% ,+1% ,+134% ,-28% ,-29% ,+8% 
Kansas,-43% ,-18% ,+25% ,-30% ,-34% ,+10% 
Kentucky,-39% ,-5% ,+57% ,-37% ,-36% ,+9% 
Louisiana,-46% ,-10% ,-19% ,-54% ,-37% ,+12% 
Maine,-50% ,-23% ,+20% ,-59% ,-34% ,+10% 
Maryland,-47% ,-25% ,+35% ,-53% ,-42% ,+14% 
Massachusetts,-53% ,-27% ,+25% ,-68% ,-42% ,+14% 
Michigan,-55% ,-24% ,+92% ,-53% ,-44% ,+11% 
Minnesota,-46% ,-18% ,+98% ,-58% ,-37% ,+12% 
Mississippi,-43% ,-14% ,-8% ,-37% ,-35% ,+11% 
Missouri,-43% ,-6% ,+5% ,-40% ,-34% ,+10% 
Montana,-45% ,-17% ,+23% ,-40% ,-36% ,+9% 
Nebraska,-40% ,-8% ,+56% ,-25% ,-27% ,+9% 
Nevada,-49% ,-22% ,-46% ,-64% ,-55% ,+15% 
New Hampshire,-48% ,-26% ,+15% ,-57% ,-37% ,+11% 
New Jersey,-66% ,-11% ,+26% ,-67% ,-45% ,+16% 
New Mexico,-41% ,-11% ,-7% ,-33% ,-35% ,+10% 
New York,-59% ,-28% ,-11% ,-68% ,-47% ,+15% 
North Carolina,-43% ,-14% ,+5% ,-55% ,-38% ,+11% 
North Dakota,-50% ,-15% ,-2% ,-44% ,-28% ,+11% 
Ohio,-46% ,-18% ,+37% ,-39% ,-37% ,+11% 
Oklahoma,-41% ,-8% ,-3% ,-30% ,-35% ,+10% 
Oregon,-46% ,-18% ,-1% ,-44% ,-39% ,+11% 
Pennsylvania,-50% ,-24% ,+52% ,-51% ,-39% ,+12% 
Rhode Island,-50% ,-25% ,+4% ,-59% ,-37% ,+13% 
South Carolina,-42% ,-11% ,-24% ,-41% ,-38% ,+10% 
South Dakota,-38% ,-3% ,+81% ,-36% ,-29% ,+9% 
Tennessee,-43% ,-9% ,+2% ,-42% ,-38% ,+10% 
Texas,-48% ,-23% ,-47% ,-53% ,-39% ,+14% 
Utah,-42% ,-13% ,+16% ,-49% ,-43% ,+10% 
Vermont,-58% ,-34% ,-1% ,-69% ,-42% ,+11% 
Virginia,-44% ,-18% ,+21% ,-56% ,-39% ,+12% 
Washington,-46% ,-21% ,-11% ,-56% ,-42% ,+12% 
West Virginia,-40% ,-8% ,+28% ,-36% ,-33% ,+8% 
Wisconsin,-47% ,-18% ,+124% ,-40% ,-33% ,+10% 
Wyoming,-39% ,-11% ,+22% ,-21% ,-31% ,+9% 
Mauritius,-91%,-90%,-88%,-91%,-69%,+24%
Flacq District,-94% ,-92% ,-89% ,,-73% ,+8% 
Grand Port District,-92% ,-90% ,-85% ,-96% ,-75% ,+8% 
Moka District,-97% ,-33% ,,-74% ,-68% ,+8% 
Pamplemousses District,-88% ,-86% ,-89% ,-78% ,-67% ,+7% 
Plaines Wilhems District,-95% ,-92% ,,-95% ,-72% ,+40% 
Port Louis District,-92% ,-93% ,-76% ,-87% ,-66% ,+6% 
Rivière Noire District,-94% ,-90% ,-94% ,-84% ,-73% ,+8% 
Rivière du Rempart District,-94% ,-91% ,-100% ,,-67% ,+8% 
Rodrigues District,,,-50% ,,-56% ,
Savanne District,-100% ,-60% ,-28% ,,-69% ,
Benin,-23%,-6%,+2%,-18%,+1%,+8%
Niger,-22%,-15%,-16%,-30%,+0%,+8%
Nicaragua,-40%,-20%,-25%,-35%,-16%,+9%
Mozambique,-32%,-17%,-29%,-34%,-2%,+12%
Angola,-62%,-37%,-48%,-63%,-17%,+22%
Togo,-42%,-31%,-27%,-53%,-11%,+17%
Zambia,-24%,-12%,-6%,-28%,-1%,+11%
Pakistan,-65%,-51%,-41%,-57%,-34%,+15%
Puerto Rico,-93%,-95%,-87%,-88%,-66%,+26%
Luxembourg,-85%,-78%,-7%,-65%,-57%,+15%
Romania,-79%,-48%,-58%,-72%,-39%,+15%
Alba County,-81% ,-53% ,-41% ,-58% ,-43% ,+11% 
Arad County,-79% ,-49% ,-34% ,-69% ,-38% ,+14% 
Argeș County,-77% ,-49% ,-45% ,-75% ,-37% ,+14% 
Bacău County,-77% ,-49% ,-42% ,-75% ,-35% ,+15% 
Bihor County,-78% ,-52% ,-32% ,-64% ,-34% ,+13% 
Bistrița-Năsăud County,-78% ,-56% ,-56% ,-63% ,-42% ,+15% 
Botoșani County,-73% ,-42% ,-12% ,-60% ,-37% ,+12% 
Brașov County,-84% ,-59% ,-80% ,-78% ,-45% ,+17% 
Brăila County,-75% ,-45% ,-71% ,-70% ,-34% ,+14% 
Bucharest,-84% ,-48% ,-88% ,-75% ,-46% ,+18% 
Buzău County,-73% ,-51% ,-51% ,-55% ,-31% ,+15% 
Caraș-Severin County,-77% ,-52% ,-46% ,-67% ,-37% ,+12% 
Cluj County,-83% ,-53% ,-49% ,-74% ,-43% ,+15% 
Constanța County,-78% ,-43% ,-78% ,-71% ,-37% ,+15% 
Covasna County,-83% ,-55% ,-59% ,-59% ,-34% ,+17% 
Călărași County,-62% ,-45% ,-53% ,-62% ,-26% ,+13% 
Dolj County,-76% ,-46% ,-58% ,-68% ,-32% ,+13% 
Dâmbovița County,-75% ,-49% ,-52% ,-59% ,-35% ,+14% 
Galați,-76% ,-44% ,-64% ,-67% ,-37% ,+15% 
Giurgiu County,-64% ,-35% ,-46% ,-40% ,-25% ,+13% 
Gorj County,-69% ,-43% ,-45% ,-65% ,-38% ,+12% 
Harghita County,-78% ,-61% ,-50% ,-61% ,-40% ,+16% 
Hunedoara County,-80% ,-47% ,-60% ,-68% ,-41% ,+13% 
Ialomița County,-59% ,-48% ,-48% ,-63% ,-30% ,+15% 
Iași County,-80% ,-45% ,-54% ,-71% ,-41% ,+16% 
Ilfov County,-82% ,-40% ,-67% ,-80% ,-41% ,+16% 
Maramureș County,-74% ,-52% ,-34% ,-61% ,-41% ,+12% 
Mehedinți County,-77% ,-45% ,-54% ,-66% ,-34% ,+17% 
Mureș County,-79% ,-53% ,-56% ,-66% ,-36% ,+13% 
Neamț County,-77% ,-48% ,-61% ,-74% ,-39% ,+14% 
Olt County,-68% ,-42% ,-51% ,-59% ,-35% ,+12% 
Prahova,-81% ,-51% ,-72% ,-75% ,-40% ,+14% 
Satu Mare County,-79% ,-47% ,-34% ,-69% ,-36% ,+12% 
Sibiu,-80% ,-58% ,-67% ,-72% ,-43% ,+15% 
Suceava County,-83% ,-62% ,-45% ,-79% ,-45% ,+16% 
Sălaj,-75% ,-46% ,-47% ,-61% ,-37% ,+15% 
Teleorman County,-63% ,-39% ,-21% ,-57% ,-27% ,+11% 
Timiș County,-81% ,-50% ,-69% ,-71% ,-41% ,+15% 
Tulcea County,-74% ,-50% ,-62% ,-65% ,-32% ,+14% 
Vaslui County,-72% ,-44% ,-20% ,-64% ,-34% ,+10% 
Vrancea County,-80% ,-51% ,-32% ,-71% ,-36% ,+12% 
Vâlcea County,-74% ,-46% ,-44% ,-66% ,-35% ,+13% 
Peru,-95%,-95%,-89%,-93%,-75%,+34%
Botswana,-74%,-66%,-28%,-81%,-36%,+34%
Bosnia and Herzegovina,-74%,-45%,-17%,-56%,-49%,+12%
Australia,-44%,-18%,-43%,-62%,-36%,+14%
Australian Capital Territory,-39% ,-3% ,-7% ,-61% ,-36% ,+13% 
New South Wales,-43% ,-11% ,-27% ,-59% ,-37% ,+14% 
Northern Territory,-29% ,-16% ,-22% ,-58% ,-25% ,+12% 
Queensland,-37% ,-17% ,-35% ,-60% ,-33% ,+12% 
South Australia,-40% ,-13% ,-48% ,-59% ,-30% ,+12% 
Tasmania,-52% ,-31% ,-76% ,-70% ,-33% ,+15% 
Victoria,-52% ,-26% ,-75% ,-74% ,-42% ,+18% 
Western Australia,-40% ,-17% ,-43% ,-61% ,-29% ,+14% 
Papua New Guinea,-19%,-6%,-13%,-42%,+12%,+9%
South Africa,-76%,-51%,-53%,-78%,-44%,+22%
Germany,-58%,-13%,+61%,-47%,-30%,+8%
Baden-Württemberg,-60% ,-2% ,+69% ,-46% ,-36% ,+8% 
Bavaria,-65% ,-19% ,+21% ,-60% ,-39% ,+10% 
Berlin,-67% ,-17% ,+33% ,-54% ,-33% ,+8% 
Brandenburg,-46% ,-7% ,+70% ,-35% ,-17% ,+6% 
Bremen,-64% ,-22% ,+111% ,-59% ,-32% ,+7% 
Hamburg,-65% ,-20% ,+80% ,-56% ,-34% ,+9% 
Hesse,-59% ,-6% ,+96% ,-62% ,-34% ,+8% 
Lower Saxony,-58% ,-17% ,+89% ,-37% ,-29% ,+7% 
Mecklenburg-Vorpommern,-54% ,-13% ,+23% ,-44% ,-18% ,+5% 
North Rhine-Westphalia,-53% ,-6% ,+107% ,-44% ,-29% ,+7% 
Rhineland-Palatinate,-56% ,-3% ,+71% ,-53% ,-32% ,+7% 
Saarland,-63% ,-26% ,+54% ,-60% ,-34% ,+8% 
Saxony,-55% ,-11% ,+63% ,-43% ,-16% ,+6% 
Saxony-Anhalt,-51% ,-7% ,+47% ,-46% ,-12% ,+4% 
Schleswig-Holstein,-57% ,-32% ,+37% ,-39% ,-29% ,+7% 
Thuringia,-46% ,+5% ,+77% ,-28% ,-18% ,+4% 
Netherlands,-54%,-16%,+41%,-52%,-29%,+8%
Drenthe,-42% ,-15% ,+21% ,-33% ,-22% ,+7% 
Flevoland,-42% ,-15% ,+99% ,-46% ,-31% ,+8% 
Friesland,-44% ,-15% ,+83% ,-27% ,-24% ,+6% 
Gelderland,-51% ,-14% ,+42% ,-40% ,-27% ,+8% 
Groningen,-56% ,-21% ,+108% ,-45% ,-26% ,+7% 
Limburg,-66% ,-15% ,+18% ,-38% ,-31% ,+9% 
North Brabant,-57% ,-13% ,+40% ,-56% ,-28% ,+9% 
North Holland,-58% ,-21% ,+27% ,-71% ,-35% ,+9% 
Overijssel,-56% ,-14% ,+54% ,-48% ,-27% ,+8% 
South Holland,-50% ,-14% ,+54% ,-46% ,-28% ,+8% 
Utrecht,-50% ,-20% ,+55% ,-58% ,-31% ,+9% 
Zeeland,-58% ,-27% ,-5% ,-32% ,-28% ,+8% 
Mongolia,-12%,+11%,+21%,-10%,-2%,-1%
Moldova,-67%,-43%,-46%,-67%,-37%,+12%
Cape Verde,-63%,-48%,-55%,-87%,-34%,+30%
Vietnam,-67%,-44%,-47%,-67%,-32%,+22%
Mexico,-62%,-19%,-52%,-51%,-27%,+13%
Antigua and Barbuda,-78%,-55%,-65%,-83%,-66%,+16%
Rwanda,-60%,-54%,-18%,-75%,-26%,+21%
Honduras,-88%,-83%,-66%,-84%,-56%,+22%
Malta,-74%,-32%,-38%,-54%,-48%,+18%
El Salvador,-78%,-58%,-70%,-70%,-48%,+22%
Uganda,-64%,-55%,-20%,-69%,-31%,+24%
